Number	Commit_id	Date	Files	Insert	Delete	Sum
640	2023-04-27	9	23	5	28
641	2023-04-30	1	1	1	2
642	2023-04-30	1	5	0	5
643	2023-04-30	4	35	4	39
644	2023-04-30	8	7	4	11
645	2023-04-30	8	8	5	13
646	2023-04-30	8	8	5	13
647	2023-04-30	9	10	4	14
648	2023-04-30	9	12	6	18
649	2023-05-01	1	13	3	16
650	2023-05-01	11	47	8	55
651	2023-05-01	2	22	0	22
652	2023-05-01	3	23	21	44
653	2023-05-01	9	10	4	14
654	2023-05-01	9	27	12	39
655	2023-05-01	9	8	2	10
656	2023-05-01	9	8	2	10
657	2023-05-02	9	15	9	24
658	2023-05-02	9	9	3	12
659	2023-05-03	9	8	2	10
660	2023-05-04	9	8	2	10
661	2023-05-05	9	8	2	10
662	2023-05-06	9	8	2	10
663	2023-05-06	9	8	2	10
664	2023-05-07	9	8	2	10
665	2023-05-08	9	8	2	10
666	2023-05-09	3	25	5	30
667	2023-05-09	9	8	2	10
668	2023-05-12	10	134	3	137
669	2023-05-13	9	9	3	12
670	2023-05-14	12	8	170	178
671	2023-05-14	18	212	16	228
672	2023-05-14	8	15	33	48
673	2023-05-14	9	8	2	10
674	2023-05-16	9	8	2	10
675	2023-05-16	9	9	3	12
676	2023-05-18	1	4	2	6
677	2023-05-18	10	458	382	840
678	2023-05-18	11	75	3	78
679	2023-05-18	2	0	0	0
680	2023-05-18	2	2	0	2
681	2023-05-18	2	3	1	4
682	2023-05-18	69	2	2	4
683	2023-05-18	9	10	4	14
684	2023-05-19	14	20	10	30
685	2023-05-20	1	5	0	5
686	2023-05-20	1	6	0	6
687	2023-05-20	10	28	16	44
688	2023-05-20	10	9	4	13
689	2023-05-20	11	103	65	168
690	2023-05-20	2	21	16	37
691	2023-05-20	6	42	31	73
692	2023-05-21	9	12	6	18
693	2023-05-21	9	9	3	12
694	2023-05-22	9	8	2	10
695	2023-05-23	9	8	2	10
696	2023-05-24	9	8	2	10
697	2023-05-25	9	8	2	10
698	2023-05-26	9	8	2	10
699	2023-05-27	9	8	2	10
700	2023-05-28	9	8	2	10
701	2023-05-29	9	8	2	10
